test_id,wafer_id,die_id,equipment_id,test_station,process_corner,supply_voltage,output_voltage,current,leakage_current,resistance,capacitance,threshold_voltage,frequency,propagation_delay,setup_time,hold_time,timing_margin,temperature,thermal_delta,dynamic_power,static_power,total_power,ambient_temperature,test_duration,test_cycle,result,defect_type
TST-000023,WFR-024,DIE-1250,EQP-105,STN-04,SS,1.1995,1.1854,43.9351,111.2448,11.5832,4.2441,0.4577,2389.79,13.042,0.8379,0.4286,2.858,27.18,2.18,57.6822,0.13344,57.82867,25,151.81,4,PASS,NORMAL
TST-000024,WFR-025,DIE-1913,EQP-101,STN-03,SS,1.226,1.2106,47.9607,117.6523,12.4006,4.2681,0.4724,2441.05,12.9095,0.8366,0.4111,2.6403,25.53,0.53,58.9014,0.14424,59.07155,25,153.27,5,PASS,NORMAL
TST-000025,WFR-026,DIE-2626,EQP-102,STN-02,FF,1.2147,1.1929,44.7128,142.6934,12.9353,4.391,0.4285,2769.83,11.4798,0.8938,0.4229,2.0677,27.95,2.95,55.8255,0.17333,56.02428,25,154.32,5,PASS,NORMAL
TST-000026,WFR-027,DIE-3339,EQP-101,STN-04,FF,1.1922,1.1808,44.0351,125.7976,12.3567,4.0502,0.4447,2662.11,11.471,0.8572,0.4278,2.6975,28.85,3.85,52.7732,0.14998,52.93002,25,150.54,1,PASS,NORMAL
TST-000027,WFR-028,DIE-4002,EQP-102,STN-04,SS,1.2269,1.2114,45.0073,111.719,12.4876,4.1133,0.469,2402.92,12.7716,0.8329,0.4281,3.0419,28.39,3.39,51.716,0.13707,51.91883,25,158.02,4,PASS,NORMAL
TST-000028,WFR-029,DIE-4715,EQP-105,STN-02,SS,1.2375,1.2087,44.0375,151.385,12.2888,4.1198,0.4575,2540.68,12.4194,0.8619,0.4218,2.4625,27.15,2.15,58.5317,0.18734,58.75666,25,149.97,3,PASS,NORMAL
TST-000029,WFR-030,DIE-0428,EQP-102,STN-02,FS,1.2018,1.1894,42.4591,121.5935,12.5639,4.3359,0.4564,2518.31,12.6885,0.8592,0.4283,2.336,27.7,2.7,51.8729,0.14613,52.05253,25,149.53,3,PASS,NORMAL
TST-000030,WFR-031,DIE-1141,EQP-105,STN-01,FF,1.2234,1.1945,45.8079,176.6526,14.2036,4.8437,0.5361,2342.77,13.5134,0.8585,0.4033,2.7019,28.08,3.08,51.677,0.21612,51.89213,25,144.98,3,FAIL,PROCESS_VARIATION
TST-000031,WFR-032,DIE-1804,EQP-105,STN-03,SS,1.2036,1.1829,43.5663,111.75,12.0564,4.2091,0.4772,2313.62,13.3393,0.8308,0.3923,3.1188,27.61,2.61,59.5957,0.1345,59.63675,25,149.83,2,PASS,NORMAL
TST-000032,WFR-033,DIE-2517,EQP-105,STN-02,FF,1.2003,1.1816,42.6965,126.3174,12.9631,4.217,0.4684,2640.73,11.8606,0.8667,0.4363,2.42,27.88,2.88,51.5563,0.15162,51.68176,25,151.25,5,PASS,NORMAL
TST-000033,WFR-034,DIE-3230,EQP-101,STN-04,FS,1.19,1.174,43.0719,152.6062,12.6372,4.275,0.4494,2502.94,12.6676,0.8251,0.4015,2.4885,25.96,0.96,53.2666,0.1816,53.47394,25,143.72,4,PASS,NORMAL
TST-000034,WFR-035,DIE-3943,EQP-103,STN-01,FF,1.1715,1.1496,44.0078,144.6322,12.4644,4.3734,0.4438,2544.69,11.9451,0.8651,0.3932,2.9088,26.45,1.45,54.2349,0.16944,54.37658,25,154.16,3,PASS,NORMAL
TST-000035,WFR-036,DIE-4606,EQP-103,STN-04,FS,1.2012,1.1728,51.6104,118.3683,12.7893,4.1817,0.4454,2523.71,12.4755,0.8507,0.4286,2.5235,31.63,6.63,77.9971,0.14218,78.20317,25,152.81,3,FAIL,POWER_ANOMALY
TST-000036,WFR-037,DIE-0319,EQP-103,STN-02,TT,1.2052,1.1816,45.4668,125.8667,12.4631,4.4035,0.4521,2536.36,13.2647,0.872,0.4215,1.6339,26.52,1.52,53.805,0.15169,53.98112,25,149.85,2,PASS,NORMAL
TST-000037,WFR-038,DIE-1032,EQP-104,STN-04,SS,1.2186,1.1956,54.0309,124.5383,12.5231,4.2394,0.4421,2515.49,12.8844,0.8606,0.4433,2.1565,38.38,13.38,69.1577,0.15176,69.39982,25,152.73,4,FAIL,POWER_ANOMALY
TST-000038,WFR-039,DIE-1745,EQP-103,STN-01,SF,1.1891,1.1765,42.4186,155.058,12.5069,3.962,0.4473,2442.12,12.6331,0.8699,0.453,2.8762,28.52,3.52,49.0591,0.18438,49.29848,25,150.55,3,PASS,NORMAL
TST-000039,WFR-040,DIE-2408,EQP-103,STN-01,FS,1.1951,1.1841,44.3529,136.7403,12.5174,4.1481,0.4574,2432.62,12.9853,0.8294,0.4241,2.6285,27.2,2.2,52.2539,0.16342,52.38806,25,156.06,3,PASS,NORMAL
TST-000040,WFR-041,DIE-3121,EQP-101,STN-02,FS,1.1781,1.1582,43.153,128.1047,12.9978,4.2317,0.4446,2374.98,12.8056,0.9002,0.4244,3.1364,26.59,1.59,53.1567,0.15092,53.31794,25,152.62,3,PASS,NORMAL
TST-000041,WFR-042,DIE-3834,EQP-103,STN-01,SS,1.2006,1.1831,45.8456,156.6663,11.9318,4.2097,0.4569,2413.47,12.5504,0.825,0.4193,3.1982,28.71,3.71,54.0658,0.18809,54.15628,25,153.43,3,PASS,NORMAL
TST-000042,WFR-043,DIE-4547,EQP-102,STN-01,FS,1.2096,1.1925,44.2319,143.6093,12.5566,4.256,0.4344,2648.55,13.0229,0.8428,0.3497,1.2369,26.75,1.75,54.2537,0.17371,54.43082,25,141.21,4,PASS,NORMAL
TST-000043,WFR-044,DIE-0210,EQP-105,STN-03,SF,1.204,1.1795,44.5142,118.0335,12.675,4.4476,0.4596,2493.71,12.8819,0.857,0.431,2.3015,27.31,2.31,53.4455,0.14211,53.51401,25,148.23,3,PASS,NORMAL
TST-000044,WFR-045,DIE-0923,EQP-104,STN-02,FF,1.2278,1.2153,47.1584,150.207,12.3499,4.1496,0.4394,2872.43,11.2346,0.8679,0.4391,1.823,27.15,2.15,53.086,0.18442,53.24331,25,158.86,5,PASS,NORMAL
TST-000045,WFR-046,DIE-1636,EQP-105,STN-01,FS,1.1813,1.1571,43.5449,148.5511,12.6603,4.3074,0.4507,2419.56,12.5314,0.8311,0.4349,3.1694,26.53,1.53,49.3149,0.17548,49.53186,25,148.4,2,PASS,NORMAL
TST-000046,WFR-047,DIE-2349,EQP-101,STN-02,SF,1.2082,1.1853,46.121,133.2629,12.8768,4.3201,0.4518,2492.89,12.6424,0.8596,0.4241,2.5436,26.46,1.46,57.7458,0.16101,57.9532,25,148.9,1,PASS,NORMAL
TST-000047,WFR-048,DIE-3012,EQP-101,STN-04,FS,1.1783,1.1568,40.5583,128.5516,11.8848,4.0244,0.4651,2360.62,13.5279,0.8411,0.4131,2.5757,25.74,0.74,51.3918,0.15147,51.54618,25,151.67,1,PASS,NORMAL
TST-000048,WFR-049,DIE-3725,EQP-102,STN-02,FS,1.2302,1.2075,45.1785,150.5454,12.6041,4.1161,0.441,2654.08,11.9181,0.8647,0.4129,2.2883,26.74,1.74,53.6538,0.1852,53.77962,25,149.54,1,PASS,NORMAL
TST-000049,WFR-050,DIE-4438,EQP-105,STN-02,FF,1.2012,1.189,46.1392,153.8117,12.8575,4.2873,0.4511,2665.57,11.4078,0.8307,0.4468,2.7677,27.69,2.69,52.2311,0.18476,52.34273,25,146.6,5,PASS,NORMAL
TST-000050,WFR-051,DIE-0101,EQP-102,STN-02,SS,1.1909,1.1635,42.3728,119.15,11.6937,4.2891,0.4678,2310.22,13.4375,0.8085,0.4111,3.0684,28.74,3.74,55.9283,0.1419,56.06745,25,149.13,3,PASS,NORMAL
TST-000051,WFR-052,DIE-0814,EQP-102,STN-04,FF,1.2245,1.2071,44.4798,125.8581,12.8945,3.8726,0.4216,2923.5,11.3378,0.8434,0.4193,1.501,26.68,1.68,53.0714,0.15411,53.11882,25,153.67,5,PASS,NORMAL
TST-000052,WFR-053,DIE-1527,EQP-104,STN-03,SF,1.221,1.203,53.1547,130.1971,12.2317,4.0773,0.4783,2431.88,11.9951,0.8202,0.4229,3.6329,33.68,8.68,66.723,0.15897,66.83601,25,152.55,2,FAIL,POWER_ANOMALY
TST-000053,WFR-054,DIE-2240,EQP-101,STN-01,FS,1.2291,1.2101,43.9429,116.6246,12.926,4.2959,0.4355,2716.05,11.8042,0.9138,0.4,2.0093,27.33,2.33,60.0202,0.14334,60.17824,25,158.2,5,PASS,NORMAL
TST-000054,WFR-055,DIE-2903,EQP-103,STN-04,SF,1.1826,1.1652,45.769,124.773,11.8933,4.1978,0.4431,2447.06,12.6323,0.8718,0.4255,2.842,27.89,2.89,55.4904,0.14756,55.65809,25,155.54,3,PASS,NORMAL
TST-000055,WFR-056,DIE-3616,EQP-103,STN-02,SS,1.2136,1.1954,47.4161,131.5217,13.0374,4.3108,0.4662,2412.31,12.8782,0.8731,0.4092,2.8303,27.29,2.29,58.2921,0.15961,58.43848,25,153.24,4,PASS,NORMAL
TST-000056,WFR-057,DIE-4329,EQP-101,STN-04,FF,1.1885,1.1622,44.921,152.8786,12.5779,4.3668,0.4608,2481.56,12.0671,0.8622,0.4218,3.1896,27.84,2.84,49.7204,0.1817,49.90313,25,151.98,1,PASS,NORMAL
TST-000057,WFR-058,DIE-5042,EQP-104,STN-02,FS,1.202,1.1881,45.8721,148.2839,12.7596,4.3082,0.4435,2498.46,12.6565,0.8384,0.4162,2.515,27.76,2.76,52.4177,0.17824,52.64105,25,148.43,1,PASS,NORMAL
TST-000058,WFR-059,DIE-0705,EQP-102,STN-04,TT,1.1988,1.1765,43.57,132.0771,12.4462,4.1752,0.4312,2491.09,12.0489,0.8606,0.425,3.1477,26.83,1.83,50.7668,0.15833,50.88616,25,149.02,2,PASS,NORMAL
TST-000059,WFR-060,DIE-1418,EQP-103,STN-01,TT,1.2233,1.21,46.0197,136.4327,12.8655,4.2238,0.4321,2667.04,12.2792,0.8587,0.4505,1.86,27.09,2.09,62.7487,0.1669,62.84405,25,150.04,2,PASS,NORMAL
TST-000060,WFR-061,DIE-2131,EQP-102,STN-04,SF,1.2124,1.1856,45.8333,145.6934,12.2083,4.1584,0.4464,2572.56,12.3861,0.8499,0.3974,2.3127,27.36,2.36,55.8928,0.17664,56.01132,25,156.7,4,PASS,NORMAL
TST-000061,WFR-062,DIE-2844,EQP-104,STN-03,SF,1.196,1.1838,43.652,136.7683,12.68,4.2864,0.4522,2444.93,12.3164,0.93,0.441,3.114,27.88,2.88,48.6143,0.16357,48.82341,25,149.26,4,PASS,NORMAL
TST-000062,WFR-063,DIE-3507,EQP-105,STN-02,FF,1.2003,1.1811,44.0116,152.5672,12.4949,4.07,0.448,2656.82,11.3871,0.8786,0.4221,2.7899,28.42,3.42,52.7186,0.18313,52.89456,25,145.36,4,PASS,NORMAL
TST-000063,WFR-064,DIE-4220,EQP-105,STN-04,FF,1.1807,1.1588,44.6746,136.2603,12.2631,4.1058,0.4457,2471.34,11.916,0.8411,0.4614,3.4285,27.14,2.14,52.365,0.16088,52.61924,25,145.41,2,PASS,NORMAL
TST-000064,WFR-065,DIE-4933,EQP-105,STN-02,TT,1.1849,1.1652,46.1392,105.7739,12.2714,4.2353,0.4538,2408.42,12.8157,0.8243,0.4267,2.9684,26.57,1.57,53.9135,0.12533,54.08203,25,150.45,2,PASS,NORMAL
TST-000065,WFR-066,DIE-0646,EQP-101,STN-04,SF,1.1628,1.1474,44.5961,126.8988,12.7452,4.2431,0.4377,2452.37,12.4198,0.852,0.4163,3.039,27.6,2.6,50.3469,0.14756,50.45854,25,151.41,4,PASS,NORMAL
TST-000066,WFR-067,DIE-1309,EQP-102,STN-02,FF,1.2105,1.1902,45.821,146.3469,12.466,4.2932,0.452,2653.9,11.9084,0.9006,0.4296,2.2632,28.93,3.93,54.2536,0.17715,54.34023,25,149.04,5,PASS,NORMAL
TST-000067,WFR-068,DIE-2022,EQP-105,STN-01,SF,1.2064,1.1887,45.6533,109.9036,11.9694,4.2057,0.4406,2500.79,12.3923,0.8961,0.4139,2.7065,26.4,1.4,52.1482,0.13259,52.2611,25,150.33,5,PASS,NORMAL
TST-000068,WFR-069,DIE-2735,EQP-101,STN-04,FF,1.1858,1.1511,46.6787,141.5873,12.3991,4.1849,0.4477,2450.31,11.6128,0.9075,0.4146,3.8042,27,2,55.276,0.16789,55.48242,25,150.75,3,PASS,NORMAL
TST-000069,WFR-070,DIE-3448,EQP-102,STN-03,FF,1.2237,1.2063,49.9118,159.8479,12.7853,4.3617,0.4309,2835.45,11.2497,0.853,0.4087,2.0044,27.06,2.06,56.471,0.19561,56.68394,25,152.13,2,PASS,NORMAL
TST-000070,WFR-071,DIE-4111,EQP-105,STN-04,TT,1.1967,1.1764,47.6631,140.7834,12.8372,4.3106,0.42,2612.54,11.7432,0.8504,0.4187,2.7172,28.72,3.72,53.1375,0.16848,53.30318,25,159.84,3,PASS,NORMAL
TST-000071,WFR-072,DIE-4824,EQP-102,STN-03,TT,1.2028,1.1831,45.1745,165.7347,12.6227,4.2949,0.455,2478.63,12.7085,0.8042,0.4078,2.6252,28.14,3.14,55.3919,0.19935,55.62791,25,148.33,4,PASS,NORMAL
TST-000072,WFR-073,DIE-0537,EQP-105,STN-01,SF,1.1951,1.1797,44.459,119.6958,12.5284,4.2597,0.453,2445.06,12.262,0.8699,0.411,3.2276,29.68,4.68,55.3545,0.14305,55.48794,25,159.79,3,PASS,NORMAL
TST-000073,WFR-074,DIE-1250,EQP-102,STN-02,TT,1.2238,1.2085,48.5747,128.149,12.4247,4.3325,0.4555,2550,12.5836,0.8867,0.4191,2.216,27.3,2.3,57.6955,0.15683,57.79818,25,150.63,4,PASS,NORMAL
TST-000074,WFR-075,DIE-1913,EQP-104,STN-03,FF,1.2324,1.2059,45.3536,155.3262,12.3771,4.1415,0.4465,2760.64,11.6022,0.9058,0.4192,1.9814,28.96,3.96,59.1259,0.19142,59.25908,25,147.03,3,PASS,NORMAL
TST-000075,WFR-076,DIE-2626,EQP-105,STN-04,FS,1.1991,1.1753,44.3931,137.5862,12.9916,4.3007,0.4471,2447.29,11.9816,0.8874,0.4185,3.4756,26.8,1.8,52.6021,0.16498,52.77238,25,147.35,1,PASS,NORMAL
TST-000076,WFR-077,DIE-3339,EQP-103,STN-02,TT,1.2127,1.1906,45.5447,113.0794,12.0519,4.0342,0.446,2535.57,12.1724,0.8372,0.4069,2.7659,28.36,3.36,54.4953,0.13713,54.65932,25,148.87,5,PASS,NORMAL
TST-000077,WFR-078,DIE-4002,EQP-104,STN-04,SS,1.1997,1.1747,43.7479,143.3607,12.1207,4.1487,0.4746,2252.99,13.1293,0.8509,0.4304,3.774,28.42,3.42,52.2397,0.17199,52.41591,25,143.84,4,PASS,NORMAL
TST-000078,WFR-079,DIE-4715,EQP-103,STN-04,SF,1.1891,1.172,45.4571,126.1918,12.4311,4.1571,0.4751,2344.26,13.1873,0.8211,0.4392,3.0546,27.54,2.54,54.6277,0.15005,54.71981,25,150.63,2,PASS,NORMAL
TST-000079,WFR-080,DIE-0428,EQP-102,STN-02,TT,1.2104,1.1919,41.7118,158.8044,12.789,4.3308,0.4654,2500.06,12.8529,0.8815,0.4272,2.2652,28.92,3.92,54.9421,0.19222,55.19412,25,155.56,4,PASS,NORMAL
TST-000080,WFR-081,DIE-1141,EQP-103,STN-04,FS,1.1577,1.1347,44.8331,129.0237,12.4715,4.2089,0.4479,2344.57,12.4648,0.8703,0.3986,3.7256,26.96,1.96,57.0485,0.14937,57.20436,25,150.95,3,FAIL,LOW_VOLTAGE
TST-000081,WFR-082,DIE-1804,EQP-105,STN-04,SS,1.2085,1.1933,43.4159,112.3439,11.6413,4.201,0.467,2363.61,13.5967,0.868,0.4205,2.4586,27.72,2.72,52.5969,0.13577,52.67357,25,146.95,2,PASS,NORMAL
TST-000082,WFR-083,DIE-2517,EQP-102,STN-01,TT,1.143,1.1252,41.6759,141.5846,12.4769,3.8586,0.4506,2309.15,12.9585,0.8969,0.3999,3.467,28.14,3.14,48.7478,0.16183,48.93218,25,153.65,5,FAIL,LOW_VOLTAGE
TST-000083,WFR-084,DIE-3230,EQP-102,STN-01,SS,1.2058,1.187,42.8992,150.5923,12.6389,4.3497,0.4951,2304.56,13.5192,0.8296,0.4161,3.0081,28.01,3.01,51.7616,0.18158,51.9198,25,161.23,5,PASS,NORMAL
TST-000084,WFR-085,DIE-3943,EQP-101,STN-03,TT,1.2394,1.2233,46.2025,118.9017,11.7009,4.2547,0.4569,2604.14,12.5372,0.8464,0.4009,1.9766,27.13,2.13,58.2305,0.14737,58.28764,25,154.07,2,PASS,NORMAL
TST-000085,WFR-086,DIE-4606,EQP-101,STN-03,SF,1.1813,1.1613,46.6154,131.5616,12.3271,4.1679,0.4647,2313.86,12.7836,0.8858,0.4295,3.6177,25.75,0.75,49.186,0.15541,49.38276,25,157.7,1,PASS,NORMAL
TST-000086,WFR-087,DIE-0319,EQP-105,STN-01,FF,1.1961,1.1681,44.9558,155.8673,12.2347,4.1909,0.4563,2567.99,12.0147,0.8283,0.4148,2.7334,27.26,2.26,55.5914,0.18643,55.77831,25,146.79,1,PASS,NORMAL
TST-000087,WFR-088,DIE-1032,EQP-104,STN-03,SS,1.1974,1.1751,41.5496,117.2698,11.5966,4.388,0.4494,2404.34,12.7368,0.8715,0.436,3.0283,28.36,3.36,53.4593,0.14042,53.62387,25,153.71,5,PASS,NORMAL
TST-000088,WFR-089,DIE-1745,EQP-105,STN-03,FF,1.2018,1.1796,42.7434,126.653,12.5871,4.4439,0.4465,2707.5,11.8921,0.8716,0.4274,2.0101,27.52,2.52,52.9596,0.15221,53.08557,25,159.22,3,PASS,NORMAL
TST-000089,WFR-090,DIE-2408,EQP-102,STN-03,SF,1.227,1.2008,46.6211,119.6869,12.3087,4.1459,0.459,2684.77,11.719,0.9064,0.4021,2.2735,26.88,1.88,57.1318,0.14686,57.219,25,146.63,1,PASS,NORMAL
TST-000090,WFR-091,DIE-3121,EQP-104,STN-04,FS,1.2037,1.1681,42.4139,116.6274,12.0963,4.1862,0.4614,2511.1,12.5589,0.8499,0.423,2.5205,27.58,2.58,57.0679,0.14038,57.16532,25,148.85,2,PASS,NORMAL
TST-000091,WFR-092,DIE-3834,EQP-102,STN-02,SF,1.1961,1.1758,43.9781,110.4715,12.4997,4.2978,0.449,2495.36,11.8976,0.8283,0.4104,3.3039,26.91,1.91,49.4443,0.13213,49.4617,25,149.36,1,PASS,NORMAL
TST-000092,WFR-093,DIE-4547,EQP-102,STN-01,FF,1.2185,1.1967,46.6723,155.8484,12.4859,4.3056,0.4538,2647.61,11.4009,0.853,0.4042,2.8541,28.57,3.57,54.8964,0.1899,55.0092,25,144.63,1,PASS,NORMAL
TST-000093,WFR-094,DIE-0210,EQP-101,STN-04,FS,1.2324,1.2202,46.6061,128.7786,12.787,4.2303,0.4423,2625.28,10.8396,0.8301,0.4235,3.5668,26.09,1.09,53.3101,0.15871,53.51269,25,151.25,3,PASS,NORMAL
TST-000094,WFR-095,DIE-0923,EQP-104,STN-02,SF,1.188,1.1286,46.6833,115.7384,13.6697,4.0176,0.4574,2407.27,12.9165,0.8695,0.42,2.8303,27.35,2.35,58.3561,0.1375,58.51357,25,144.75,4,FAIL,EQUIPMENT_DRIFT
TST-000095,WFR-096,DIE-1636,EQP-105,STN-04,SS,1.1902,1.172,43.3993,125.7059,12.2156,4.3159,0.4446,2311.39,12.9403,0.8619,0.4129,3.5034,28.09,3.09,52.3646,0.14962,52.54002,25,152.01,5,PASS,NORMAL
TST-000096,WFR-097,DIE-2349,EQP-103,STN-01,FS,1.2145,1.1941,46.6267,103.9977,12.4991,4.2712,0.4565,2522.56,12.0554,0.8341,0.3783,2.9674,27.55,2.55,52.1773,0.12631,52.2977,25,154.54,3,PASS,NORMAL
TST-000097,WFR-098,DIE-3012,EQP-104,STN-04,SS,1.1915,1.1713,43.6229,109.8144,11.9585,4.2316,0.4787,2243.79,13.3056,0.8742,0.3974,3.6472,28.23,3.23,53.3817,0.13084,53.44375,25,150.3,1,PASS,NORMAL
TST-000098,WFR-099,DIE-3725,EQP-105,STN-04,SS,1.1884,1.1584,47.9157,110.2189,13.3857,4.2896,0.4944,2202.34,14.4336,0.8375,0.4157,2.8914,27.64,2.64,53.9213,0.13098,53.99354,25,144.47,3,FAIL,PROCESS_VARIATION
TST-000099,WFR-100,DIE-4438,EQP-102,STN-03,TT,1.2159,1.2001,44.3315,152.4286,11.9555,4.1878,0.445,2571.1,11.7833,0.8721,0.4289,2.9021,28.07,3.07,53.8697,0.18534,54.06166,25,148.02,3,PASS,NORMAL
TST-000100,WFR-001,DIE-0101,EQP-103,STN-02,SS,1.2143,1.1972,46.0877,141.3263,12.7407,4.2522,0.4662,2434.04,12.7072,0.8078,0.4147,2.9186,28.23,3.23,52.4516,0.17161,52.74344,25,151.38,1,PASS,NORMAL
TST-000101,WFR-002,DIE-0814,EQP-101,STN-02,TT,1.1987,1.1709,45.7772,132.5387,12.0451,4.1883,0.4614,2395.24,12.9835,0.8374,0.4222,2.8789,27.49,2.49,56.0565,0.15887,56.26546,25,144.72,1,PASS,NORMAL
TST-000102,WFR-003,DIE-1527,EQP-101,STN-02,FS,1.1941,1.1724,46.7503,133.9472,12.0199,4.3413,0.4397,2544.34,12.3997,0.8697,0.4239,2.4518,27.66,2.66,52.2297,0.15995,52.42571,25,147.16,3,PASS,NORMAL
