test_id,lot_id,wafer_id,die_id,equipment_id,test_station,test_cycle,burn_in_hour,die_row,die_col,r_norm,supply_voltage,output_voltage,current,leakage_current,resistance,capacitance,threshold_voltage,frequency,propagation_delay,setup_time,hold_time,timing_margin,temperature,dynamic_power,total_power,test_duration,voltage_headroom,voltage_utilization,leakage_fraction,power_per_current,normalized_timing_margin,frequency_delay_product,thermal_delta,effective_drive_current,rc_delay,timing_slack,dynamic_power_per_freq,leakage_temperature_interaction,result,defect_type,is_anomaly,is_unknown_anomaly,is_borderline,is_latent,dataset_version,generator_version,source_type
TST-0000045,LOT-005,WFR-005-03,DIE-R08C32,EQP-103,STN-02,1,0.0,-22,2,0.7364,1.2334,1.205,39.8077,101.3508,12.5906,3.982,0.4208,2373.47,12.2722,0.907,0.457,3.4797,27.52,51.7187,51.8652,152.65,0.8126,0.341171,0.002546,1.299213,0.283543,29.127699,2.52,39.706349,0.050136,2.1157,0.02179,2.789174,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000046,LOT-006,WFR-006-03,DIE-R15C45,EQP-104,STN-03,1,0.0,-15,15,0.7071,1.185,1.1741,39.0817,113.9399,12.9727,4.0345,0.4489,2149.85,12.1466,0.8881,0.3961,5.7795,27.21,46.367,46.5232,148.28,0.7361,0.378819,0.002915,1.186412,0.475812,26.113368,2.21,38.96776,0.052338,4.4953,0.021568,3.100305,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000047,LOT-007,WFR-007-03,DIE-R22C58,EQP-105,STN-04,1,0.0,-8,28,0.9707,1.2144,1.1627,46.255,166.6299,13.7366,4.1054,0.5415,2203.36,14.3733,0.81,0.4235,2.7949,28.69,49.0649,49.2539,150.46,0.6729,0.445899,0.003602,1.060748,0.194451,31.669554,3.69,46.08837,0.056394,1.5614,0.022268,4.780612,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000048,LOT-008,WFR-008-03,DIE-R29C11,EQP-106,STN-01,1,0.0,-1,-19,0.6342,1.2009,1.1898,46.3565,140.5141,12.841,4.2466,0.4945,2333.62,13.2728,0.825,0.43,3.2574,29.32,50.6969,50.7419,153.17,0.7064,0.411775,0.003031,1.093631,0.245419,30.973672,4.32,46.215986,0.054531,2.0024,0.021725,4.119873,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000049,LOT-009,WFR-009-03,DIE-R36C24,EQP-107,STN-02,1,0.0,6,-6,0.2828,1.1919,1.172,46.1412,132.731,12.8968,3.9721,0.4541,2416.77,12.2825,0.8487,0.4238,3.1465,26.71,53.8223,54.0064,154.21,0.7378,0.380988,0.002877,1.166469,0.256177,29.683978,1.71,46.008469,0.051227,1.874,0.02227,3.545245,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000050,LOT-010,WFR-010-03,DIE-R43C37,EQP-101,STN-03,1,0.0,13,7,0.4922,1.2028,1.1864,46.1437,127.9714,15.2324,4.2141,0.4695,2556.65,12.9167,0.8188,0.4209,1.4139,29.34,54.7691,54.847,147.5,0.7333,0.390339,0.002773,1.186925,0.109463,33.023481,4.34,46.015729,0.064191,0.1742,0.021422,3.754681,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000051,LOT-011,WFR-011-03,DIE-R50C50,EQP-102,STN-04,1,0.0,20,20,0.9428,1.183,1.1668,45.7057,159.4869,12.5312,3.9072,0.4684,2403.22,12.5486,0.8315,0.4266,2.8095,28.95,49.8473,50.0346,148.36,0.7146,0.395943,0.003489,1.090615,0.22389,30.157046,3.95,45.546213,0.048962,1.5514,0.020742,4.617146,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000052,LOT-012,WFR-012-03,DIE-R57C03,EQP-103,STN-01,1,0.0,27,-27,1.0,1.1774,1.1836,42.3985,158.9019,12.1392,4.1196,0.4399,2443.91,11.6864,0.8352,0.4268,3.9263,28.44,53.3023,53.452,144.28,0.7375,0.37362,0.003748,1.257174,0.335972,28.56051,3.44,42.239598,0.050009,2.6643,0.02181,4.51917,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000053,LOT-013,WFR-013-03,DIE-R04C16,EQP-104,STN-02,1,0.0,-26,-14,0.9843,1.198,1.1978,48.7454,182.1371,13.6381,4.2718,0.4479,2656.63,13.3947,0.8231,0.4121,0.9052,29.09,56.0281,56.2895,148.04,0.7501,0.373873,0.003736,1.149403,0.067579,35.584762,4.09,48.563263,0.058259,-0.33,0.02109,5.298368,FAIL,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000054,LOT-014,WFR-014-03,DIE-R11C29,EQP-105,STN-03,1,0.0,-19,-1,0.6342,1.2199,1.1988,48.6257,111.3897,11.0892,4.3214,0.4275,2867.8,11.5711,0.8078,0.4111,1.5999,29.3,62.0997,62.2208,142.99,0.7924,0.350439,0.002291,1.277096,0.138267,33.183601,4.3,48.51431,0.047921,0.381,0.021654,3.263718,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
TST-0000055,LOT-015,WFR-015-03,DIE-R18C42,EQP-106,STN-04,1,0.0,-12,12,0.5657,1.1958,1.1515,50.0759,148.0839,14.5368,4.2877,0.4331,2825.06,12.2266,0.828,0.4071,0.6647,28.35,62.0327,62.3106,149.78,0.7627,0.362184,0.002957,1.238774,0.054365,34.540879,3.35,49.927816,0.062329,-0.5704,0.021958,4.198179,FAIL,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified
