test_id,wafer_id,equipment_id,supply_voltage,output_voltage,current,leakage_current,resistance,capacitance,threshold_voltage,frequency,propagation_delay,setup_time,hold_time,timing_margin,temperature,thermal_delta,dynamic_power,static_power,total_power,test_duration,result,defect_type,severity
RS-TST-000011,WFR-V2-011,EQP-103,1.1846,1.1595,43.8367,144.7503,12.729,4.125,0.4501,2411.99,13.1745,0.8261,0.376,2.5832,30.54,5.54,45.3483,0.17147,45.51578,148.82,PASS,NORMAL,0
RS-TST-000012,WFR-V2-012,EQP-101,1.1891,1.1701,47.8608,128.5893,12.6367,3.8996,0.5108,2411.45,14.3987,0.8247,0.414,1.364,27.14,2.14,49.8371,0.1529,49.99449,154.89,FAIL,PROCESS_VARIATION,0.8579
RS-TST-000013,WFR-V2-013,EQP-103,1.1845,1.1612,42.2432,126.3399,11.8155,4.2563,0.457,2423.76,12.9269,0.8271,0.4021,2.7493,29.85,4.85,51.0031,0.14965,51.13562,146.24,PASS,NORMAL,0
RS-TST-000014,WFR-V2-014,EQP-101,1.2186,1.2012,45.589,113.8572,12.1766,4.1451,0.4538,2604.28,12.042,0.8169,0.4331,2.5004,27.09,2.09,50.4853,0.13874,50.66854,154.09,PASS,NORMAL,0
RS-TST-000015,WFR-V2-015,EQP-102,1.234,1.2223,48.5625,120.5735,12.6476,4.2166,0.4405,2710.13,12.2414,0.8425,0.4579,1.6755,27.65,2.65,53.3981,0.14879,53.54787,152.97,PASS,NORMAL,0
RS-TST-000016,WFR-V2-016,EQP-105,1.185,1.1575,43.4704,152.0647,12.3354,4.0286,0.4648,2363.45,13.1706,0.8559,0.4271,2.8979,29.84,4.84,52.7485,0.18019,52.87004,146.83,PASS,HIGH_LEAKAGE,0.226
RS-TST-000017,WFR-V2-017,EQP-104,1.2029,1.1888,44.4422,104.9674,12.0793,4.2044,0.457,2500.45,12.3289,0.8811,0.4339,2.7871,27.43,2.43,49.3911,0.12626,49.50977,150.43,PASS,NORMAL,0
RS-TST-000018,WFR-V2-018,EQP-105,1.1758,1.1592,42.0741,113.2321,12.1859,4.4597,0.4266,2479.07,12.2855,0.8804,0.4345,2.9692,29.38,4.38,47.3336,0.13314,47.4979,154.72,PASS,NORMAL,0
RS-TST-000019,WFR-V2-019,EQP-102,1.1925,1.1758,44.3366,142.3745,12.8459,4.3403,0.447,2472.19,12.7761,0.8318,0.4104,2.5721,27.2,2.2,53.5959,0.16978,53.75572,148.23,PASS,NORMAL,0
RS-TST-000020,WFR-V2-020,EQP-103,1.1927,1.1704,43.4002,125.5164,12.1991,4.0772,0.447,2582.11,12.6627,0.8209,0.4193,2.0076,29.09,4.09,49.7,0.1497,49.85437,148.28,PASS,NORMAL,0
RS-TST-000021,WFR-V2-021,EQP-103,1.121,1.1023,44.4382,137.1571,12.868,4.2806,0.4443,2448.14,14.6785,0.8294,0.4473,0.8312,29.52,4.52,52.9156,0.15375,53.10942,148.67,FAIL,LOW_VOLTAGE,0.8035
RS-TST-000022,WFR-V2-022,EQP-104,1.191,1.1704,43.1259,129.5804,12.3051,4.0909,0.4323,2516.66,12.3862,0.8778,0.4189,2.6301,26.62,1.62,49.553,0.15433,49.71548,150.02,PASS,NORMAL,0
RS-TST-000023,WFR-V2-023,EQP-101,1.2037,1.1816,42.9973,127.9194,13.0029,4.0071,0.4396,2556.13,12.297,0.8358,0.4299,2.5158,26.35,1.35,53.3748,0.15398,53.5422,146.21,PASS,NORMAL,0
RS-TST-000024,WFR-V2-024,EQP-103,1.1969,1.1844,43.1178,151.3924,12.7158,4.1534,0.4497,2493.71,13.3366,0.7826,0.4168,1.921,30.27,5.27,57.9262,0.1812,58.05377,148.62,PASS,NORMAL,0
RS-TST-000025,WFR-V2-025,EQP-102,1.1882,1.1666,45.8248,134.0468,12.6615,4.0134,0.442,2285.28,16.5433,0.996,0.3986,-0.036,29.44,4.44,45.5486,0.15927,45.70867,152.6,FAIL,TIMING_FAILURE,0.8631
RS-TST-000026,WFR-V2-026,EQP-105,1.1992,1.1717,42.8744,149.6785,12.7018,4.2514,0.4673,2437.55,13.3558,0.8552,0.4221,2.1988,30.44,5.44,51.0377,0.1795,51.23323,150.28,PASS,HIGH_LEAKAGE,0.2174
RS-TST-000027,WFR-V2-027,EQP-102,1.1894,1.1717,40.8793,136.3584,12.3667,4.3353,0.4473,2482.87,12.6948,0.8851,0.428,2.5305,29.89,4.89,52.3374,0.16218,52.46155,153.56,PASS,NORMAL,0
RS-TST-000028,WFR-V2-028,EQP-102,1.1603,1.1451,41.7841,112.9813,12.504,4.4515,0.4564,2299.81,13.8659,0.9012,0.4134,2.6255,28.32,3.32,52.1579,0.13109,52.30378,151.42,PASS,POWER_ANOMALY,0.2244
RS-TST-000029,WFR-V2-029,EQP-102,1.1904,1.1634,43.1774,146.1636,11.9064,4.274,0.4388,2471.61,12.9868,0.8663,0.3933,2.3307,29.44,4.44,52.0689,0.17399,52.30335,152.4,PASS,NORMAL,0
RS-TST-000030,WFR-V2-030,EQP-104,1.1735,1.1639,46.269,118.501,13.0917,4.2231,0.4829,2311.28,14.1257,0.8686,0.4137,2.3122,26.29,1.29,49.2327,0.13906,49.35628,151.5,FAIL,PROCESS_VARIATION,0.4515
RS-TST-000031,WFR-V2-031,EQP-104,1.2279,1.2122,46.8186,136.6776,12.2971,4.054,0.4513,2565.16,12.696,0.8388,0.4074,2.0587,28.22,3.22,54.9282,0.16783,55.08476,155.2,PASS,TIMING_FAILURE,0.1244
RS-TST-000032,WFR-V2-032,EQP-102,1.1769,1.1655,41.4416,137.2019,12.5601,4.3214,0.4306,2505.84,12.6472,0.8619,0.4104,2.4536,28.88,3.88,48.0652,0.16147,48.2387,144.06,PASS,NORMAL,0
RS-TST-000033,WFR-V2-033,EQP-105,1.1846,1.1575,43.6451,113.2542,12.6989,4.0436,0.4322,2488.99,12.9668,0.8783,0.4071,2.2258,28.12,3.12,51.7586,0.13416,51.96184,150.02,PASS,NORMAL,0
RS-TST-000034,WFR-V2-034,EQP-101,1.197,1.1795,44.151,100.3373,12.9787,4.0756,0.4352,2560.05,12.746,0.8829,0.4361,1.9958,28.07,3.07,45.9367,0.12011,46.01378,151.1,PASS,NORMAL,0
RS-TST-000035,WFR-V2-035,EQP-103,1.1965,1.1759,44.1723,153.1504,12.7114,4.0513,0.4557,2433.01,12.8799,0.8721,0.4176,2.6885,31.09,6.09,51.3832,0.18324,51.55045,146.17,PASS,NORMAL,0
RS-TST-000036,WFR-V2-036,EQP-104,1.194,1.1794,43.1054,111.6368,13.385,4.231,0.4542,2490.48,12.8269,0.7924,0.4068,2.4419,27.35,2.35,50.7742,0.13329,50.92811,152.96,PASS,HIGH_LEAKAGE,0.0765
RS-TST-000037,WFR-V2-037,EQP-102,1.2057,1.1798,45.1253,114.7928,12.2476,4.1875,0.4597,2349.73,14.4484,0.9748,0.4013,1.6001,27.5,2.5,53.4311,0.1384,53.60689,155.42,FAIL,TIMING_FAILURE,0.681
RS-TST-000038,WFR-V2-038,EQP-105,1.2274,1.2079,47.2936,153.2634,12.5258,4.1088,0.4497,2636.54,12.0132,0.8793,0.4398,2.2789,29.2,4.2,51.8398,0.18811,52.07041,152.44,PASS,NORMAL,0
RS-TST-000039,WFR-V2-039,EQP-103,1.2055,1.1829,44.0139,120.5525,12.7716,4.342,0.4537,2518.94,13.0753,0.8532,0.4095,1.9512,31.04,6.04,50.0085,0.14533,50.24348,148.38,PASS,NORMAL,0
RS-TST-000040,WFR-V2-040,EQP-101,1.2194,1.2042,43.9568,120.5278,13.1742,4.2262,0.5263,2431.6,14.3443,0.8295,0.4321,1.2763,28.47,3.47,56.4558,0.14697,56.61628,148.42,FAIL,PROCESS_VARIATION,0.8651
RS-TST-000041,WFR-V2-041,EQP-101,1.1849,1.1728,44.0202,99.4059,12.4197,4.0188,0.4509,2452.92,12.4593,0.8089,0.4225,3.0389,27.23,2.23,51.5532,0.11778,51.71135,152.72,PASS,NORMAL,0
RS-TST-000042,WFR-V2-042,EQP-101,1.1236,1.0996,43.7803,118.0079,12.3681,4.2641,0.4316,2518.24,13.3767,0.8272,0.4257,1.6802,27.22,2.22,47.1242,0.1326,47.28266,155.21,PASS,LOW_VOLTAGE,0.646
RS-TST-000043,WFR-V2-043,EQP-101,1.207,1.1927,44.7951,117.5686,12.4668,4.518,0.4655,2423.05,12.4494,0.8973,0.429,3.1614,28.75,3.75,50.4549,0.14191,50.58823,147.06,PASS,NORMAL,0
RS-TST-000044,WFR-V2-044,EQP-103,1.1867,1.1716,42.8327,113.1708,11.5832,4.1678,0.4561,2402.7,13.2835,0.8382,0.4298,2.5262,28.49,3.49,51.6721,0.1343,51.86185,149.01,PASS,NORMAL,0
RS-TST-000045,WFR-V2-045,EQP-102,1.2048,1.1835,43.545,116.1565,12.6778,4.3198,0.4524,2345.93,14.4747,0.9535,0.4205,1.6227,27.73,2.73,52.8824,0.13995,52.96673,148.67,FAIL,TIMING_FAILURE,0.7234
RS-TST-000046,WFR-V2-046,EQP-101,1.2093,1.1913,42.3046,125.5107,12.3203,4.2255,0.4624,2559.58,12.1708,0.8452,0.4404,2.6115,27.42,2.42,57.746,0.15178,57.98051,145.19,PASS,NORMAL,0
RS-TST-000047,WFR-V2-047,EQP-102,1.1969,1.1767,41.3345,105.3096,12.3832,4.1929,0.4508,2526.78,12.9663,0.8709,0.401,1.9931,27.18,2.18,52.3712,0.12604,52.4948,149.65,PASS,NORMAL,0
RS-TST-000048,WFR-V2-048,EQP-104,1.2008,1.1809,46.3541,125.472,12.5662,4.1707,0.4706,2418.56,13.1473,0.8123,0.4317,2.5791,28.02,3.02,49.0626,0.15066,49.08184,154.51,PASS,NORMAL,0
RS-TST-000049,WFR-V2-049,EQP-105,1.2257,1.2087,45.2508,142.4029,12.3234,4.2746,0.451,2568.75,12.2267,0.8129,0.3978,2.5321,29.81,4.81,49.6046,0.17455,49.81542,141.59,PASS,NORMAL,0
RS-TST-000050,WFR-V2-050,EQP-105,1.2225,1.205,43.3771,140.1853,12.9152,4.2709,0.4506,2586.3,12.45,0.8053,0.422,2.2107,28.99,3.99,50.6751,0.17137,50.85486,153.27,PASS,NORMAL,0
RS-TST-000051,WFR-V2-051,EQP-101,1.1762,1.1629,43.3933,142.5407,12.2276,4.0096,0.4369,2442.97,12.7814,0.8342,0.4162,2.7578,26.77,1.77,51.836,0.16765,52.06544,148.48,PASS,NORMAL,0
RS-TST-000052,WFR-V2-052,EQP-103,1.1992,1.1839,46.0934,158.3826,12.5988,4.3269,0.4543,2478.81,13.6941,0.8785,0.4329,1.5642,32.05,7.05,50.636,0.18994,50.89596,153.76,PASS,NORMAL,0
RS-TST-000053,WFR-V2-053,EQP-102,1.217,1.1958,46.8508,187.757,13.043,4.2696,0.4475,2528.1,12.3254,0.8896,0.4327,2.6072,29.36,4.36,49.6195,0.22849,49.88049,154.89,FAIL,HIGH_LEAKAGE,0.366
RS-TST-000054,WFR-V2-054,EQP-101,1.2013,1.1821,45.6455,140.9114,13.0027,4.0035,0.4622,2470.18,13.1296,0.8812,0.4121,2.1823,27.6,2.6,53.1339,0.16928,53.34329,151.93,PASS,NORMAL,0
RS-TST-000055,WFR-V2-055,EQP-104,1.1746,1.1527,44.2136,118.3153,13.2218,4.1857,0.4559,2400.04,13.0318,0.8036,0.4156,2.8309,27.45,2.45,46.4787,0.13898,46.64487,139.53,PASS,NORMAL,0
RS-TST-000056,WFR-V2-056,EQP-102,1.2006,1.1862,45.2833,98.3448,12.3942,4.3314,0.4416,2548.8,12.7162,0.8088,0.4283,2.1687,26.91,1.91,53.9202,0.11807,53.98704,154.59,PASS,NORMAL,0
RS-TST-000057,WFR-V2-057,EQP-101,1.1963,1.1731,41.2366,128.4063,11.8179,4.2436,0.4357,2535.71,11.9924,0.8866,0.413,2.8957,28.17,3.17,51.2782,0.15361,51.50156,146.77,PASS,NORMAL,0
RS-TST-000058,WFR-V2-058,EQP-104,1.1798,1.1588,45.5853,110.4703,13.4871,4.2196,0.4737,2525.95,13.4998,0.8771,0.4246,1.4588,27.68,2.68,48.6838,0.13033,48.80134,153.65,PASS,PROCESS_VARIATION,0.685
RS-TST-000059,WFR-V2-059,EQP-104,1.2193,1.2141,46.4305,118.5435,12.1458,4.2387,0.4564,2494.47,12.1618,0.7809,0.3936,3.0928,27.77,2.77,53.28,0.14454,53.45083,146.94,PASS,NORMAL,0
RS-TST-000060,WFR-V2-060,EQP-104,1.2208,1.2073,44.4322,122.1807,12.6715,4.2239,0.4617,2532.93,12.3142,0.8665,0.4167,2.6112,26.09,1.09,55.2124,0.14916,55.4645,149.28,PASS,NORMAL,0
RS-TST-000061,WFR-V2-061,EQP-101,1.1917,1.1782,45.9618,139.4948,12.3115,4.337,0.4351,2521.85,12.6617,0.8337,0.4224,2.366,27.77,2.77,48.6495,0.16624,48.82483,153.57,PASS,NORMAL,0
RS-TST-000062,WFR-V2-062,EQP-101,1.1829,1.1614,41.5452,124.0753,11.9624,4.1994,0.4501,2459.95,12.5495,0.8384,0.42,2.8726,27.97,2.97,52.3659,0.14677,52.50973,148.5,PASS,NORMAL,0
RS-TST-000063,WFR-V2-063,EQP-101,1.2147,1.1965,45.7842,136.8351,12.3858,4.3053,0.438,2614.69,11.6966,0.8498,0.3999,2.7518,27.01,2.01,54.2604,0.16621,54.41633,155.01,PASS,POWER_ANOMALY,0.0606
RS-TST-000064,WFR-V2-064,EQP-101,1.2178,1.2036,44.1575,110.0156,12.8381,4.2569,0.4489,2595.33,12.7002,0.828,0.4252,1.8841,25.68,0.68,56.1462,0.13397,56.29082,144.2,PASS,NORMAL,0
RS-TST-000065,WFR-V2-065,EQP-101,1.2083,1.1884,44.3641,120.5947,11.8889,4.2842,0.4525,2491.04,12.5507,0.8601,0.4214,2.6469,27.73,2.73,54.1429,0.14572,54.25055,148.2,PASS,NORMAL,0
RS-TST-000066,WFR-V2-066,EQP-104,1.2008,1.1857,42.5349,170.7962,12.0304,4.1156,0.4304,2635.35,11.7696,0.8562,0.4029,2.5524,30.43,5.43,54.4348,0.2051,54.67343,143.88,PASS,HIGH_LEAKAGE,0.5219
RS-TST-000067,WFR-V2-067,EQP-103,1.1992,1.1836,46.8484,142.5776,12.6184,4.1869,0.4683,2444.22,13.6272,0.8466,0.3804,1.8913,29.02,4.02,54.378,0.17098,54.60111,158.09,PASS,NORMAL,0
RS-TST-000068,WFR-V2-068,EQP-103,1.1917,1.1796,51.5763,160.6086,12.4446,4.2824,0.4475,2525.72,13.0861,0.8477,0.4241,1.9033,30.2,5.2,69.932,0.1914,70.13529,149.32,PASS,POWER_ANOMALY,0.8779
RS-TST-000069,WFR-V2-069,EQP-101,1.1678,1.1412,45.3132,114.7889,12.2679,4.2221,0.4474,2489.14,12.8165,0.8267,0.4503,2.4266,26.12,1.12,51.3235,0.13405,51.45293,149.05,PASS,LOW_VOLTAGE,0.1582
RS-TST-000070,WFR-V2-070,EQP-105,1.2128,1.1907,44.0034,138.6878,13.4637,4.3183,0.4378,2552.98,12.2124,0.8559,0.4292,2.5996,29.6,4.6,52.8708,0.16819,53.0006,149.21,PASS,EQUIPMENT_DRIFT,0.6967
RS-TST-000101,WFR-V2-001,EQP-104,1.2117,1.1954,44.6144,118.1376,12.4571,4.4374,0.463,2455.19,12.1629,0.8409,0.434,3.2882,26.74,1.74,52.8819,0.14315,53.06013,153.44,PASS,NORMAL,0
RS-TST-000102,WFR-V2-002,EQP-101,1.1778,1.1626,42.3029,178.9204,12.9097,4.2307,0.4622,2366.07,13.0197,0.8606,0.4217,3.0254,28.76,3.76,49.6703,0.21074,49.94765,149.06,FAIL,HIGH_LEAKAGE,0.3892
RS-TST-000103,WFR-V2-003,EQP-105,1.2043,1.1749,47.3004,126.7806,11.8578,4.3033,0.4188,2670.83,11.7665,0.7744,0.4201,2.4356,27.81,2.81,50.271,0.15268,50.50905,145.37,PASS,NORMAL,0
RS-TST-000104,WFR-V2-004,EQP-103,1.1999,1.187,44.4818,133.5552,11.9395,4.1367,0.4382,2586.16,13.0427,0.839,0.4327,1.5853,28.42,3.42,50.7978,0.16026,51.09864,151.26,PASS,NORMAL,0
RS-TST-000105,WFR-V2-005,EQP-101,1.1795,1.157,42.7069,135.1288,12.7405,4.2627,0.5012,2384.57,14.2557,0.8428,0.4188,1.6759,28.26,3.26,48.7317,0.15938,48.92004,142.25,FAIL,PROCESS_VARIATION,0.5767
RS-TST-000106,WFR-V2-006,EQP-103,1.1951,1.1871,43.5167,147.5341,12.0627,4.2186,0.4136,2577.13,12.1835,0.8709,0.4242,2.4668,30.17,5.17,52.278,0.17632,52.42877,149.92,PASS,NORMAL,0
RS-TST-000107,WFR-V2-007,EQP-101,1.2259,1.1978,49.6179,114.541,12.8064,4.1485,0.4259,2756.49,11.4039,0.866,0.4162,2.2413,27.16,2.16,81.9119,0.14041,82.07577,148.63,PASS,POWER_ANOMALY,0.7484
RS-TST-000108,WFR-V2-008,EQP-101,1.2081,1.184,45.7019,138.4851,12.1621,4.2997,0.4461,2506.93,11.9787,0.8341,0.4198,3.1431,27.5,2.5,51.4681,0.1673,51.55874,147.58,PASS,HIGH_LEAKAGE,0.1824
RS-TST-000109,WFR-V2-009,EQP-103,1.2356,1.2172,45.3344,109.4389,11.7403,4.1853,0.4431,2673.61,11.9424,0.8033,0.4191,2.2152,31.48,6.48,58.4234,0.13522,58.57366,150.27,PASS,NORMAL,0
RS-TST-000110,WFR-V2-010,EQP-101,1.1896,1.1767,41.5706,114.1394,12.2131,4.1282,0.4409,2550.88,12.5499,0.8666,0.407,2.2644,27.26,2.26,52.3718,0.13578,52.43993,143.94,PASS,NORMAL,0
RS-TST-000111,WFR-V2-011,EQP-103,1.1887,1.1681,45.2299,140.8334,11.9616,4.1995,0.447,2422.67,13.089,0.8107,0.419,2.611,29.65,4.65,52.7577,0.16741,52.97805,151.07,PASS,NORMAL,0
RS-TST-000112,WFR-V2-012,EQP-102,1.2031,1.187,41.9712,124.1608,12.3765,4.285,0.457,2423.53,13.1168,0.7669,0.3992,2.6211,27.54,2.54,50.0725,0.14938,50.20957,150.44,PASS,NORMAL,0
RS-TST-000113,WFR-V2-013,EQP-105,1.2024,1.1822,42.5309,131.0449,12.2574,4.2406,0.4553,2447.3,12.9432,0.8336,0.4242,2.5678,28.83,3.83,51.6319,0.15757,51.88718,141.65,PASS,NORMAL,0
RS-TST-000114,WFR-V2-014,EQP-102,1.1945,1.17,42.1924,138.5345,12.7659,4.0813,0.4663,2367.85,13.5229,0.8492,0.4172,2.5209,28.51,3.51,47.8178,0.16548,47.98144,151.49,PASS,NORMAL,0
RS-TST-000115,WFR-V2-015,EQP-105,1.2033,1.1919,44.3617,138.5446,12.3385,4.1003,0.4492,2580.29,12.817,0.8507,0.4384,1.8344,28.69,3.69,52.1853,0.1667,52.34475,148.61,PASS,NORMAL,0
RS-TST-000116,WFR-V2-016,EQP-103,1.1958,1.1838,45.9603,165.7291,12.5087,4.3411,0.4877,2256.09,13.8978,0.8781,0.4233,2.9539,30.26,5.26,47.3372,0.19817,47.51864,147.02,PASS,NORMAL,0
RS-TST-000117,WFR-V2-017,EQP-101,1.1976,1.1802,44.251,130.8366,12.4097,4.1796,0.4606,2455.42,12.7496,0.8459,0.4208,2.695,27.37,2.37,52.4612,0.15669,52.54932,153.3,PASS,NORMAL,0
RS-TST-000118,WFR-V2-018,EQP-105,1.2108,1.184,46.8914,155.6444,12.1356,4.197,0.4716,2424.9,13.5118,0.8196,0.4255,2.1641,29.37,4.37,51.7864,0.18845,52.07782,152.77,PASS,NORMAL,0
RS-TST-000119,WFR-V2-019,EQP-101,1.1851,1.1661,42.3608,143.2019,12.7213,4.3822,0.4568,2404.21,12.599,0.7937,0.4218,3.2447,28.63,3.63,52.1565,0.1697,52.3172,153.3,PASS,EQUIPMENT_DRIFT,0.2371
RS-TST-000120,WFR-V2-020,EQP-104,1.2227,1.2029,45.0042,132.6202,11.7047,4.1455,0.4478,2615.98,12.5677,0.8703,0.3941,1.8526,26.74,1.74,52.8396,0.16215,53.01508,147.43,PASS,NORMAL,0
RS-TST-000121,WFR-V2-021,EQP-104,1.2052,1.1879,45.4524,173.1574,12.915,4.1424,0.4584,2533.15,12.3639,0.8668,0.422,2.5599,29.48,4.48,50.0392,0.20869,50.28168,150.33,PASS,HIGH_LEAKAGE,0.836
RS-TST-000122,WFR-V2-022,EQP-105,1.1942,1.1792,46.0108,126.3857,12.9114,4.26,0.4549,2440.87,12.9798,0.8632,0.4138,2.5446,28.89,3.89,50.9259,0.15094,51.15462,146.03,PASS,TIMING_FAILURE,0.1223
RS-TST-000123,WFR-V2-023,EQP-104,1.1776,1.1591,46.2308,111.4683,12.557,4.3792,0.4584,2353.96,13.2716,0.8309,0.4109,2.8901,27.16,2.16,50.8143,0.13127,50.94325,156.96,PASS,NORMAL,0
RS-TST-000124,WFR-V2-024,EQP-104,1.1939,1.1759,44.7801,136.3085,11.9736,4.2837,0.4403,2470.95,12.9762,0.8541,0.4219,2.3579,27.28,2.28,52.0453,0.16273,52.25556,152.32,PASS,NORMAL,0
RS-TST-000125,WFR-V2-025,EQP-105,1.1947,1.18,44.3185,136.5804,12.5273,4.3701,0.4584,2459.4,12.4755,0.8251,0.4222,2.9636,27.23,2.23,50.8158,0.16318,50.96272,144.77,PASS,NORMAL,0
RS-TST-000126,WFR-V2-026,EQP-105,1.1997,1.1737,44.7578,134.0631,12.7623,4.199,0.4639,2479.07,13.0398,0.8255,0.4425,2.2698,28.59,3.59,52.6012,0.16084,52.71565,157.36,PASS,NORMAL,0
RS-TST-000127,WFR-V2-027,EQP-102,1.196,1.1753,45.3881,176.6701,12.5718,4.09,0.4535,2443.89,12.9046,0.8218,0.3956,2.641,33.15,8.15,52.8389,0.2113,53.07138,149.59,FAIL,HIGH_LEAKAGE,0.8345
RS-TST-000128,WFR-V2-028,EQP-101,1.2094,1.1982,45.7363,123.3214,11.948,4.2332,0.445,2538.64,13.2007,0.8483,0.4404,1.7075,27.61,2.61,57.4527,0.14914,57.63398,146.01,PASS,TIMING_FAILURE,0.1003
RS-TST-000129,WFR-V2-029,EQP-104,1.1749,1.1548,43.4294,107.4634,12.4044,4.2078,0.4563,2363.56,12.5934,0.8277,0.4158,3.5025,27.48,2.48,48.7657,0.12626,48.85345,152.91,PASS,NORMAL,0
RS-TST-000130,WFR-V2-030,EQP-101,1.2193,1.1975,44.1473,114.9705,12.1634,4.2368,0.4486,2518.34,11.9088,0.8889,0.4342,3.0858,27.5,2.5,54.1839,0.14019,54.31947,145.07,PASS,NORMAL,0
RS-TST-000131,WFR-V2-031,EQP-101,1.1802,1.1646,42.5286,126.2321,13.0772,4.1298,0.4521,2450.38,13.1049,0.8782,0.4146,2.341,27.28,2.28,51.0866,0.14897,51.24044,155.34,PASS,NORMAL,0
RS-TST-000132,WFR-V2-032,EQP-101,1.2148,1.1949,42.7186,129.0782,12.6958,4.1574,0.446,2589.84,12.2557,0.8441,0.4121,2.3452,26.38,1.38,53.0566,0.15681,53.29047,156.65,PASS,NORMAL,0
RS-TST-000133,WFR-V2-033,EQP-103,1.1381,1.1129,40.0215,134.2521,12.38,4.2731,0.4384,2326.26,13.4856,0.874,0.4242,2.8353,29.93,4.93,48.7096,0.15279,48.85457,152.24,PASS,NORMAL,0
RS-TST-000134,WFR-V2-034,EQP-105,1.1649,1.1501,43.1021,138.0583,14.9726,4.0217,0.4954,2439.7,14.7982,0.7995,0.4245,0.7978,29.26,4.26,49.1706,0.16083,49.41584,153.07,FAIL,PROCESS_VARIATION,0.6758
RS-TST-000135,WFR-V2-035,EQP-105,1.1833,1.1596,43.0779,121.5234,12.3753,4.1889,0.4573,2394.61,12.8888,0.8361,0.4032,2.9793,29.52,4.52,50.8359,0.1438,51.08855,144.33,PASS,NORMAL,0
RS-TST-000136,WFR-V2-036,EQP-103,1.1944,1.1692,45.8769,152.2501,12.1665,4.103,0.4423,2496,13.1368,0.8307,0.4174,2.0582,29.41,4.41,52.0364,0.18185,52.17053,141.62,PASS,NORMAL,0
RS-TST-000137,WFR-V2-037,EQP-101,1.1682,1.14,42.9831,121.9461,12.391,4.1932,0.4409,2404.29,12.2103,0.8488,0.4028,3.5778,27.58,2.58,48.3567,0.14246,48.51295,147.81,PASS,NORMAL,0
RS-TST-000138,WFR-V2-038,EQP-101,1.1906,1.1733,43.0362,96.6493,12.241,4.1608,0.4775,2295.37,12.9807,0.8634,0.4466,3.5823,26.16,1.16,50.4366,0.11507,50.57442,151.24,PASS,NORMAL,0
RS-TST-000139,WFR-V2-039,EQP-105,1.2097,1.1823,47.7335,161.9235,12.5593,4.2828,0.4463,2532.6,12.9172,0.8474,0.3966,2.0294,28.42,3.42,49.5989,0.19588,49.85662,151.69,PASS,NORMAL,0
RS-TST-000140,WFR-V2-040,EQP-104,1.1973,1.1739,42.2257,105.9058,12.5589,4.0893,0.4379,2495.46,12.1454,0.7977,0.4228,3.086,27.24,2.24,54.3827,0.1268,54.55732,157.95,PASS,NORMAL,0
