test_id,lot_id,wafer_id,die_id,equipment_id,test_station,test_cycle,burn_in_hour,die_row,die_col,r_norm,supply_voltage,output_voltage,current,leakage_current,resistance,capacitance,threshold_voltage,frequency,propagation_delay,setup_time,hold_time,timing_margin,temperature,dynamic_power,total_power,test_duration,voltage_headroom,voltage_utilization,leakage_fraction,power_per_current,normalized_timing_margin,frequency_delay_product,thermal_delta,effective_drive_current,rc_delay,timing_slack,dynamic_power_per_freq,leakage_temperature_interaction,result,defect_type,is_anomaly,is_unknown_anomaly,is_borderline,is_latent,dataset_version,generator_version,source_type,eq_EQP-101,eq_EQP-102,eq_EQP-103,eq_EQP-104,eq_EQP-105
TST-0000026,LOT-006,WFR-006-02,DIE-R55C25,EQP-102,STN-03,1,0.0,25,-5,0.8498,1.2073,1.1834,44.8359,182.8061,12.8104,4.0378,0.4567,2438.69,13.0686,0.8025,0.4102,2.8479,30.2,55.1982,55.3299,153.33,0.7506,0.378282,0.004077,1.231116,0.217919,31.870264,5.2,44.653094,0.051726,1.6352,0.022634,5.520744,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,1.0,0.0,0.0,0.0
TST-0000028,LOT-008,WFR-008-02,DIE-R09C51,EQP-104,STN-01,1,0.0,-21,21,0.9899,1.1857,1.1748,42.4764,175.1889,15.8787,4.7688,0.4124,2503.12,12.7632,0.821,0.4237,2.3741,35.65,66.0876,66.2532,152.16,0.7733,0.347811,0.004124,1.555866,0.186011,31.947821,10.65,42.301211,0.075722,1.1294,0.026402,6.245484,PASS,UNKNOWN_ANOMALY,1,1,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,1.0,0.0
TST-0000029,LOT-009,WFR-009-02,DIE-R16C04,EQP-106,STN-02,1,0.0,-14,-26,0.9843,1.1963,1.1883,43.3423,176.0398,12.9664,4.1329,0.4631,2366.48,12.8948,0.8597,0.4319,3.3581,30.48,49.5111,49.8121,147.26,0.7332,0.38711,0.004062,1.142327,0.260423,30.515286,5.48,43.16626,0.053589,2.0665,0.020922,5.365693,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000030,LOT-010,WFR-010-02,DIE-R23C17,EQP-107,STN-03,1,0.0,-7,-13,0.4922,1.194,1.2015,46.7988,122.893,14.0477,4.1352,0.4727,2625.73,12.6249,0.8492,0.4117,1.5884,28.91,60.5942,60.6909,147.53,0.7213,0.395896,0.002626,1.294781,0.125815,33.149579,3.91,46.675907,0.05809,0.3275,0.023077,3.552837,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000031,LOT-011,WFR-011-02,DIE-R30C30,EQP-101,STN-04,1,0.0,0,0,0.0,1.2047,1.1793,43.512,327.4694,13.133,4.0149,0.4492,2416.05,12.2258,0.8463,0.4475,3.4157,38.18,51.5016,51.9003,147.67,0.7555,0.372873,0.007526,1.183618,0.279385,29.538144,13.18,43.184531,0.052728,2.1219,0.021316,12.502782,FAIL,HIGH_LEAKAGE,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,1.0,0.0,0.0,0.0,0.0
TST-0000032,LOT-012,WFR-012-02,DIE-R37C43,EQP-102,STN-01,1,0.0,7,13,0.4922,1.1927,1.1997,41.5272,119.5701,13.179,4.2569,0.4552,2201.81,12.3434,0.8916,0.4263,4.4644,28.48,47.1629,47.3104,153.51,0.7375,0.381655,0.002879,1.135711,0.361683,27.177822,3.48,41.40763,0.056102,3.1465,0.02142,3.405356,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,1.0,0.0,0.0,0.0
TST-0000033,LOT-013,WFR-013-02,DIE-R44C56,EQP-103,STN-02,1,0.0,14,26,0.9843,1.1966,1.1913,44.285,176.3954,12.2363,4.0458,0.4752,2371.12,13.1238,0.8398,0.4508,2.7266,27.18,50.4367,50.601,149.57,0.7214,0.397125,0.003983,1.138912,0.20776,31.118105,2.18,44.108605,0.049506,1.436,0.021271,4.794427,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,1.0,0.0,0.0
TST-0000034,LOT-014,WFR-014-02,DIE-R51C09,EQP-104,STN-03,1,0.0,21,-21,0.9899,1.2072,1.1634,44.0618,161.0884,13.9905,5.0774,0.4364,2261.05,12.8415,0.898,0.4238,3.7686,41.85,54.8632,55.0354,148.81,0.7708,0.361498,0.003656,1.245142,0.29347,29.035274,16.85,43.900712,0.071035,2.4468,0.024264,6.74155,PASS,UNKNOWN_ANOMALY,1,1,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,1.0,0.0
TST-0000035,LOT-015,WFR-015-02,DIE-R58C22,EQP-106,STN-04,1,0.0,28,-8,0.9707,1.1921,1.1923,41.8522,155.7902,12.4728,4.0842,0.4625,2328.85,12.4195,0.8326,0.4078,3.4959,29.29,54.3204,54.4447,151.77,0.7296,0.387971,0.003722,1.29791,0.281485,28.923153,4.29,41.69641,0.050941,2.2555,0.023325,4.563095,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000037,LOT-017,WFR-017-02,DIE-R12C48,EQP-101,STN-02,1,0.0,-18,18,0.8485,1.1968,1.174,40.0292,149.8735,12.9012,4.4229,0.4536,2370.26,12.9505,0.8447,0.432,3.3398,27.58,48.1236,48.233,151.35,0.7432,0.379011,0.003744,1.202212,0.25789,30.696052,2.58,39.879327,0.057061,2.0631,0.020303,4.133511,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,1.0,0.0,0.0,0.0,0.0
TST-0000040,LOT-020,WFR-020-02,DIE-R33C27,EQP-104,STN-01,1,0.0,3,-3,0.1414,1.1817,1.151,45.0633,119.5861,12.0118,4.1226,0.4469,2510.7,12.8021,0.8782,0.4049,2.5051,28.64,54.4323,54.6382,154.54,0.7348,0.378184,0.002654,1.207908,0.195679,32.142232,3.64,44.943714,0.04952,1.222,0.02168,3.424946,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,1.0,0.0
TST-0000044,LOT-004,WFR-004-03,DIE-R01C19,EQP-102,STN-01,1,0.0,-29,-11,1.0,1.2096,1.1628,45.7955,161.7761,12.8532,4.3058,0.4936,2392.51,13.8707,0.8592,0.4102,2.8531,28.08,51.5069,51.5793,146.67,0.716,0.408069,0.003533,1.124715,0.205693,33.185788,3.08,45.633724,0.055343,1.5837,0.021528,4.542673,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,1.0,0.0,0.0,0.0
TST-0000045,LOT-005,WFR-005-03,DIE-R08C32,EQP-103,STN-02,1,0.0,-22,2,0.7364,1.2016,1.1772,45.4799,146.8154,14.296,4.2167,0.4711,2326.14,12.8618,0.842,0.3904,3.6768,26.58,48.0269,48.242,158.01,0.7305,0.392061,0.003228,1.056003,0.28587,29.918347,1.58,45.333085,0.060282,2.4444,0.020647,3.902353,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,1.0,0.0,0.0
TST-0000046,LOT-006,WFR-006-03,DIE-R15C45,EQP-104,STN-03,1,0.0,-15,15,0.7071,1.1774,1.1901,44.2813,115.4685,12.7892,3.9161,0.4355,2551.83,11.5748,0.8608,0.4185,3.0147,28.54,54.0802,54.2631,146.02,0.7419,0.369883,0.002608,1.221288,0.260454,29.536922,3.54,44.165832,0.050084,1.7354,0.021193,3.295471,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,1.0,0.0
TST-0000048,LOT-008,WFR-008-03,DIE-R29C11,EQP-107,STN-01,1,0.0,-1,-19,0.6342,1.2143,1.1632,45.6029,118.7512,13.1013,4.3251,0.4335,2619.03,11.8635,0.7994,0.4498,2.6908,28.85,57.2819,57.4377,149.03,0.7808,0.356996,0.002604,1.256102,0.226813,31.070862,3.85,45.484149,0.056664,1.4416,0.021871,3.425972,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000049,LOT-009,WFR-009-03,DIE-R36C24,EQP-101,STN-02,1,0.0,6,-6,0.2828,1.1941,1.1651,45.0785,128.1792,12.9672,4.0491,0.4476,2425.42,12.1716,0.8762,0.4199,3.3372,29.27,50.6861,50.842,151.09,0.7465,0.374843,0.002843,1.124396,0.274179,29.521242,4.27,44.950321,0.052505,2.0411,0.020898,3.751805,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,1.0,0.0,0.0,0.0,0.0
TST-0000050,LOT-010,WFR-010-03,DIE-R43C37,EQP-102,STN-03,1,0.0,13,7,0.4922,1.2095,1.1577,48.6116,126.7987,13.9575,4.0841,0.5033,2432.74,13.4046,0.834,0.4105,2.0462,29.51,56.0524,56.148,148.71,0.7062,0.416122,0.002608,1.153066,0.152649,32.609907,4.51,48.484801,0.057004,0.8017,0.023041,3.74183,PASS,PROCESS_VARIATION,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,1.0,0.0,0.0,0.0
TST-0000051,LOT-011,WFR-011-03,DIE-R50C50,EQP-103,STN-04,1,0.0,20,20,0.9428,1.1778,1.1702,41.7843,189.3303,13.0768,4.1536,0.458,2380.97,12.4331,0.8425,0.4103,3.5699,27.73,51.492,51.682,151.52,0.7198,0.388861,0.004531,1.232329,0.287129,29.602838,2.73,41.59497,0.054316,2.3171,0.021626,5.250129,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,1.0,0.0,0.0
TST-0000052,LOT-012,WFR-012-03,DIE-R57C03,EQP-104,STN-01,1,0.0,27,-27,1.0,1.1641,1.1427,40.2217,161.5862,13.0352,4.2516,0.462,2144.58,12.8722,0.8401,0.3961,4.8501,27.19,46.3626,46.6131,154.11,0.7021,0.396873,0.004017,1.152676,0.376789,27.605463,2.19,40.060114,0.05542,3.6139,0.021618,4.393529,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,1.0,0.0
TST-0000053,LOT-013,WFR-013-03,DIE-R04C16,EQP-106,STN-02,1,0.0,-26,-14,0.9843,1.1818,1.1612,47.2199,163.1132,12.0023,4.1417,0.4874,2374.94,13.2706,0.8319,0.4048,2.9118,29.67,50.6635,50.7958,151.98,0.6944,0.412422,0.003454,1.072927,0.219417,31.516879,4.67,47.056787,0.04971,1.6751,0.021333,4.839569,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000054,LOT-014,WFR-014-03,DIE-R11C29,EQP-107,STN-03,1,0.0,-19,-1,0.6342,1.1793,1.2069,43.4951,138.4087,12.8326,4.2737,0.4801,2378.61,12.6867,0.8114,0.4078,3.6527,28.77,53.4603,53.62,150.83,0.6992,0.407106,0.003182,1.229111,0.287916,30.176711,3.77,43.356691,0.054843,2.4335,0.022475,3.982018,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000055,LOT-015,WFR-015-03,DIE-R18C42,EQP-101,STN-04,1,0.0,-12,12,0.5657,1.1931,1.172,43.5591,121.5914,11.4965,4.0978,0.4521,2378.58,12.7618,0.8414,0.4151,3.2329,28.72,52.1175,52.3387,144.83,0.741,0.378929,0.002791,1.196478,0.253326,30.354962,3.72,43.437509,0.04711,1.9764,0.021911,3.492105,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,1.0,0.0,0.0,0.0,0.0
TST-0000057,LOT-017,WFR-017-03,DIE-R32C08,EQP-103,STN-02,1,0.0,2,-22,0.7364,1.2043,1.17,41.4219,132.5178,12.5505,4.5596,0.431,2253.52,15.2433,0.9375,0.3984,1.658,28.13,51.7214,51.8964,155.75,0.7733,0.357884,0.003199,1.248649,0.108769,34.351081,3.13,41.289382,0.057225,0.3221,0.022951,3.727726,PASS,TIMING_FAILURE,1,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,1.0,0.0,0.0
TST-0000060,LOT-020,WFR-020-03,DIE-R53C47,EQP-107,STN-01,1,0.0,23,17,0.9534,1.2049,1.1748,45.66,178.9483,14.6582,5.2032,0.4073,2426.96,13.1227,0.8523,0.4132,2.3609,40.75,67.1392,67.3109,152.42,0.7976,0.338036,0.003919,1.470416,0.17991,31.848268,15.75,45.481052,0.07627,1.0954,0.027664,7.292143,PASS,UNKNOWN_ANOMALY,1,1,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000064,LOT-004,WFR-004-04,DIE-R21C39,EQP-104,STN-01,1,0.0,-9,9,0.4243,1.1735,1.1636,44.0127,112.7578,12.2334,4.2362,0.4665,2389.58,12.897,0.8436,0.4137,3.2495,28.67,50.3134,50.4079,155.13,0.707,0.397529,0.002562,1.143156,0.251958,30.818413,3.67,43.899942,0.051823,1.9922,0.021055,3.232766,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,1.0,0.0
TST-0000065,LOT-005,WFR-005-04,DIE-R28C52,EQP-106,STN-02,1,0.0,-2,22,0.7364,1.2164,1.1774,42.7299,131.6687,13.7176,4.3627,0.4617,2388.56,12.0912,0.8516,0.4238,3.2499,29.64,50.0663,50.3413,153.71,0.7547,0.379563,0.003081,1.171692,0.268782,28.880557,4.64,42.598231,0.059846,1.9745,0.020961,3.90266,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000066,LOT-006,WFR-006-04,DIE-R35C05,EQP-107,STN-03,1,0.0,5,-25,0.8498,1.2028,1.1687,45.6568,111.4322,13.1793,4.0919,0.4465,2512.92,11.8909,0.8304,0.4157,3.0131,26.09,55.3978,55.5387,145.13,0.7563,0.371217,0.002441,1.213353,0.253395,29.88088,1.09,45.545368,0.053928,1.767,0.022045,2.907266,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000068,LOT-008,WFR-008-04,DIE-R49C31,EQP-102,STN-01,1,0.0,19,1,0.6342,1.2135,1.1802,46.0017,122.651,13.1111,4.274,0.4481,2463.75,12.3806,0.8336,0.4148,2.4809,27.22,48.5737,48.6664,154.84,0.7654,0.369262,0.002666,1.055911,0.200386,30.502703,2.22,45.879049,0.056037,1.2325,0.019715,3.33856,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,1.0,0.0,0.0,0.0
TST-0000069,LOT-009,WFR-009-04,DIE-R56C44,EQP-103,STN-02,1,0.0,26,14,0.9843,1.1462,1.1727,42.0287,182.6484,12.6309,4.1648,0.4973,2206.04,12.6994,0.7978,0.4134,4.1898,28.6,46.9638,47.1183,152.8,0.6489,0.433868,0.004346,1.117422,0.329921,28.015384,3.6,41.846052,0.052605,2.9786,0.021289,5.223744,PASS,NORMAL,0,0,1,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,1.0,0.0,0.0
TST-0000070,LOT-010,WFR-010-04,DIE-R03C57,EQP-104,STN-03,1,0.0,-27,27,1.0,1.2029,1.1701,48.0524,158.8773,13.1205,4.4186,0.4912,2388.57,14.001,0.8177,0.4121,1.5734,28.64,50.3184,50.4931,148.01,0.7117,0.408346,0.003306,1.047157,0.112378,33.442369,3.64,47.893523,0.057974,0.3436,0.021066,4.550246,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,1.0,0.0
TST-0000071,LOT-011,WFR-011-04,DIE-R10C10,EQP-106,STN-04,1,0.0,-20,-20,0.9428,1.2014,1.1854,43.3828,177.2491,13.3266,4.2311,0.4697,2304.08,13.2386,0.8901,0.4268,3.2335,30.26,50.1326,50.3997,156.14,0.7317,0.390961,0.004086,1.155587,0.244248,30.502793,5.26,43.205551,0.056386,1.9166,0.021758,5.363558,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000072,LOT-012,WFR-012-04,DIE-R17C23,EQP-107,STN-01,1,0.0,-13,-7,0.4922,1.211,1.1669,45.1085,149.4795,12.9017,4.3086,0.4474,2274.5,13.4463,0.839,0.4116,3.9521,29.6,49.3087,49.4602,145.48,0.7636,0.369447,0.003314,1.093113,0.293917,30.583609,4.6,44.959021,0.055588,2.7015,0.021679,4.424593,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
TST-0000073,LOT-013,WFR-013-04,DIE-R24C36,EQP-101,STN-02,1,0.0,-6,6,0.2828,1.2008,1.1768,45.0399,126.7645,12.2098,4.1182,0.4577,2521.8,12.333,0.836,0.4262,2.7589,28.32,53.3819,53.5255,147.01,0.7431,0.381163,0.002814,1.185214,0.223701,31.101359,3.32,44.913136,0.050282,1.4967,0.021168,3.589971,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,1.0,0.0,0.0,0.0,0.0
TST-0000074,LOT-014,WFR-014-04,DIE-R31C49,EQP-102,STN-03,1,0.0,1,19,0.6342,1.2,1.1658,44.9622,148.5773,13.3407,4.2019,0.4855,2328.69,13.0309,0.8208,0.4297,3.3217,28.36,47.4502,47.5069,147.31,0.7145,0.404583,0.003304,1.055335,0.254909,30.344927,3.36,44.813623,0.056056,2.0712,0.020376,4.213652,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,1.0,0.0,0.0,0.0
TST-0000075,LOT-015,WFR-015-04,DIE-R38C02,EQP-103,STN-04,1,0.0,8,-28,0.9707,1.1932,1.1753,41.7961,157.9843,12.0137,4.3598,0.4835,2230.33,13.7454,0.8246,0.4039,3.5253,26.05,46.0831,46.2316,157.79,0.7097,0.405213,0.00378,1.102569,0.256471,30.656778,1.05,41.638116,0.052377,2.2968,0.020662,4.115491,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,1.0,0.0,0.0
TST-0000077,LOT-017,WFR-017-04,DIE-R52C28,EQP-106,STN-02,1,0.0,22,-2,0.7364,1.1891,1.1727,40.3281,120.3165,12.8936,4.6842,0.4389,2365.1,12.0008,0.838,0.4439,4.2455,27.25,56.1191,56.268,151.01,0.7502,0.369103,0.002983,1.391563,0.353768,28.383092,2.25,40.207783,0.060396,2.9636,0.023728,3.278625,PASS,NORMAL,0,0,0,0,4.0.0,4.0.0_unified_physics,physics_simulation_unified,0.0,0.0,0.0,0.0,0.0
